company,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m
PANW,39,7,543.1025641025641,0.007475594873400446,0.01028045531822235,0.0072382740833928,0.003837068517820622,0.004667344822118371
PAYC,6,1,389.5,0.005324764690348013,0.00779348654263529,0.0019490686656282452,0.0009106470664589824,0.000778816199376947
PCTY,7,2,428.42857142857144,0.005096126043777593,0.0037946766121989906,0.0006496750262645431,0.00018315018315018315,0.0
PSMI,1,0,262.0,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.0,0.003816793893129771
PRSP,16,0,1478.9375,0.005636087355482063,0.003468579020530124,0.024919807414496987,0.015652529194084535,0.022417555191038645
PING,15,2,402.73333333333335,0.0021803475380433933,0.00457844386605879,0.0031337535085093514,0.004933260519522565,0.002631300333294797
PVTL,22,2,329.6818181818182,0.003912722534948757,0.004766577352254137,0.0035429013606417233,0.0025224165411892653,0.002778508193626559
PS,10,2,151.6,0.0016203804093686206,0.001615317729949712,0.025676890885012914,0.0069505410818772925,0.017574850947094926
PSDO,11,1,130.63636363636363,0.0007575757575757576,0.0011540759709773795,0.0012040939193257074,0.0,0.0006020469596628537
PFPT,13,3,341.61538461538464,0.0036219124069058316,0.006872193342321726,0.003225107478290886,0.0026291452826581662,0.001709333715227477
PSTG,18,1,375.1111111111111,0.0051694039830260255,0.007394758763228408,0.005007423216238435,0.0029771367649478564,0.002799148120479318
QTWO,11,1,427.3636363636364,0.0033909011393184374,0.008594481658355696,0.004902256262508799,0.002998348280207688,0.0028453701950213795
QIWI,5,0,356.8,0.004943217370665784,0.003422338403733989,0.005508406979945769,0.0016412661195779603,0.0048050072144123586
QLIK,12,1,363.25,0.008048393874070723,0.007232744643256294,0.005150547824575612,0.003027684392319661,0.002909655285337485
QLYS,11,2,425.90909090909093,0.0052247275258221326,0.007629453076476197,0.002420258236435927,0.007062350643077866,0.001551645197254954
QTNA,13,2,630.5384615384615,0.0027352141895381436,0.0032608908589338175,0.005728200404025833,0.0043301821831432654,0.004282965880637647
RPD,19,0,275.94736842105266,0.00417883391164057,0.007448172319496194,0.00602804848853496,0.0018517323925696409,0.0033796980500803452
RLD,19,1,382.36842105263156,0.014649871638501715,0.005687363428690511,0.005281447458535054,0.00634399283040422,0.0029984585963765513
RP,9,2,548.8888888888889,0.0066531308478487445,0.007511278330331663,0.004269103542738182,0.00531968226735058,0.0028797350759314786
RENN,31,5,375.5806451612903,0.006350993631134005,0.01188253296257175,0.006100906616076507,0.0025246416226071848,0.003792377448545516
RESN,1,0,198.0,0.0,0.0,0.005050505050505051,0.0,0.005050505050505051
MKTG,8,1,364.875,0.004915405270827651,0.001603924832115737,0.0003698224852071006,0.001326499430508098,0.0003698224852071006
SALE.,30,0,481.26666666666665,0.007197769789462903,0.0036808674262416986,0.005105603021310119,0.005340985268714414,0.0036879557796157063
RNG,17,0,254.2941176470588,0.010384047022489374,0.0016847265250373236,0.0029360859659464007,0.0011765249501866641,0.0021381726680331026
FUEL,9,1,371.77777777777777,0.004750814964686987,0.004548180271885769,0.0033502425976451398,0.002220881341530553,0.0012799820991031682
RKUS,12,2,455.9166666666667,0.004684360115032489,0.011181362901359149,0.0043770822788601164,0.006726630578126995,0.0027837333008048047
SABR,14,2,516.5,0.0058025737644535865,0.007921313439602189,0.0024752484663559393,0.0038909082991479944,0.0015293682578655023
SFET,6,0,285.1666666666667,0.007773608737647671,0.0048274182496635875,0.001444716876769778,0.001597444089456869,0.00032299741602067185
SCWX,27,6,353.25925925925924,0.0050624697566325075,0.009673159881067948,0.009104664334998371,0.005132730069127485,0.005733899748514817
LEDS,7,2,353.85714285714283,0.003886728691203437,0.004887129724252545,0.005612370648496799,0.005447088762982452,0.0015666807864732253
SEND,9,0,553.3333333333334,0.0065701470669209195,0.0037775059872984748,0.0021683064142705337,0.002557828817846225,0.001955938082636147
SQNS,3,2,376.3333333333333,0.008928580454140649,0.008649329342443238,0.0030227353366631183,0.0015113676683315592,0.0015113676683315592
NOW,25,4,500.92,0.007374900192507277,0.012356523354750227,0.005432673155553407,0.004304532309364768,0.0043900190909443295
SHOP,34,1,560.1470588235294,0.006870131806472286,0.0042922519083877664,0.007093530502625796,0.005482214712714419,0.00462088843069786
SSTI,4,1,139.5,0.0,0.001288659793814433,0.014325911739704843,0.005154639175257732,0.014325911739704843
SSNI,13,1,923.3846153846154,0.008675216750318104,0.005161468778970639,0.00792115331110375,0.0024250383751410988,0.005454000816515683
SITM,12,0,201.33333333333334,0.0008696705125276555,0.005273181710209282,0.0025998955507152226,0.004782316219669849,0.001988978689798362
WORK,36,3,1036.0555555555557,0.008441400507603829,0.01005059523659384,0.0075523334609304375,0.0046489146709824385,0.004953973951348138
SGH,7,2,461.7142857142857,0.00039154267815191856,0.0027998812538470217,0.024984793597670703,0.0005034120147667524,0.02381016556321495
SMT,22,1,480.8181818181818,0.004770832783027258,0.00556722870695416,0.007339961213618635,0.007822293251812587,0.003665729380336083
SMAR,13,0,377.6923076923077,0.005659681189521735,0.0039525837551985235,0.008369391357617396,0.006699602056530359,0.0038468435193637976
SEDG,5,0,422.2,0.004608294930875576,0.0019361544261274459,0.005704047481847309,0.004228051993647716,0.002833313616467526
SONM,10,0,265.2,0.0028888104154943216,0.0026440676364912993,0.010865846862965631,0.0032035105389565596,0.010604750257221506
SPLK,16,2,331.875,0.0049531710709850435,0.007627393539196904,0.003752273394628031,0.0032158084851347563,0.00308810251592626
SPT,5,0,442.6,0.0018546084434897063,0.005174667608354879,0.006444663845447082,0.00572557618542519,0.0037934829513011914
SPSC,9,2,479.55555555555554,0.005717242470659184,0.006861087867666914,0.00487713611589495,0.0049214314930259885,0.004008513871726421
STNE,19,0,326.7894736842105,0.00403626114325002,0.004842034768018843,0.005146556015247564,0.0039025837587490816,0.003688932965089621
SWCH,16,2,232.6875,0.0024324281537037662,0.0011130359778099097,0.0076030979061100686,0.005497061102305006,0.005734691390453766
SYNC,11,1,342.45454545454544,0.00338928301181695,0.009144102075284799,0.005456628947321764,0.0042221027066238,0.0036578081998780666
DATA,16,0,401.75,0.008080994101012358,0.007761717417992362,0.004776894339439834,0.005676371498272872,0.0039042353040488332
TNGO,9,1,439.55555555555554,0.006555810286515842,0.006634185578171751,0.007315348961086782,0.003925217027144306,0.005877823906771847
TNAV,7,2,570.5714285714286,0.008082738178802935,0.014588130926448098,0.008759928985170909,0.005344784085952897,0.004536507086375
TENB,13,1,315.38461538461536,0.0022221352144771137,0.005355807464897517,0.006468639296148177,0.007330291000109914,0.002092812630225197
TXTR,6,0,216.66666666666666,0.0011555870957842649,0.0027072852626566085,0.01752992603854635,0.0022104798803176187,0.015319446158228731
TNTRQ,25,1,354.48,0.004357725604744929,0.004615857968479981,0.003523022945913741,0.0055365701363771615,0.002030067980499159
TVPT,12,1,338.3333333333333,0.0021286879375370517,0.006470346858301081,0.0015801408000829208,0.0022484363905433645,0.00134272389599935
TRLA.2,17,1,464.8235294117647,0.008211479347668405,0.006022942880281919,0.006264818372009071,0.00740052040531385,0.0043114266471966645
TUBE,3,0,388.6666666666667,0.0014925373134328358,0.0038165337695086217,0.0004975124378109452,0.0004975124378109452,0.0004975124378109452
TUFN,21,0,398.3333333333333,0.0025548609491030743,0.005319271728572866,0.005391273836735734,0.005094445068712886,0.0036143845544912797
